"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",1.0,1.0,7.0,9.0,2020.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,53.0,9.0,10.0,2019.0,53.0,53.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,15.0,8.0,10.0,2019.0,15.0,15.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,3.0,28.0,10.0,2019.0,3.0,3.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,18.0,24.0,10.0,2018.0,18.0,18.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,10.0,25.0,10.0,2018.0,10.0,10.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,1.0,16.0,10.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,4.0,31.0,10.0,2018.0,4.0,4.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","la libertad","santa elena",1.0,5.0,12.0,10.0,2019.0,5.0,5.0
"turismo y alimentación","actividades de alojamiento","habilitado","la libertad","santa elena",1.0,1.0,9.0,6.0,2017.0,1.0,1.0
