id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,total_horas,total_ganancias,porcentaje_asistencia
1426,613,4284,7,179.0,1432.0,10740.0,106.54761904761905
1427,613,4307,7,4.0,32.0,2114.88,2.380952380952381
1428,613,4308,7,4.0,32.0,3043.84,2.380952380952381
1429,613,4373,7,4.0,32.0,417.92,2.380952380952381
1430,613,4374,7,4.0,32.0,220.16,2.380952380952381
1431,613,4265,7,90.0,1800.0,12376.57142857142,53.57142857142857
1432,613,4266,7,90.0,1800.0,106865.99999999999,53.57142857142857
1433,613,4359,7,90.0,1800.0,12376.57142857142,53.57142857142857
1434,613,4360,7,90.0,1800.0,24425.999999999996,53.57142857142857
1435,613,4311,7,115.0,1150.0,18998.0,68.45238095238095
1436,613,4312,7,115.0,1150.0,14225.499999999998,68.45238095238095
1437,613,4377,7,115.0,1150.0,12017.5,68.45238095238095
1438,613,4378,7,115.0,1150.0,53302.5,68.45238095238095
1439,613,4385,7,1.0,10.0,104.5,0.5952380952380952
1440,613,4386,7,1.0,10.0,463.5,0.5952380952380952
1441,613,4465,7,1.0,10.0,330.5,0.5952380952380952
1442,613,4466,7,1.0,10.0,475.6,0.5952380952380952
1443,613,4441,7,42.0,336.0,22206.24,25.0
1444,613,4442,7,42.0,336.0,31960.32,25.0
1445,613,4449,7,42.0,336.0,4388.16,25.0
1446,613,4450,7,42.0,336.0,2311.68,25.0
1447,613,4351,7,26.0,260.0,2717.0,15.476190476190476
1448,613,4352,7,26.0,260.0,12051.0,15.476190476190476
1449,613,4429,7,26.0,260.0,4295.2,15.476190476190476
1450,613,4430,7,26.0,260.0,23.4,15.476190476190476
1451,613,4437,7,1.0,20.0,137.51746031746023,0.5952380952380952
1452,613,4438,7,1.0,20.0,210.0,0.5952380952380952
1453,613,4467,7,1.0,20.0,137.51746031746023,0.5952380952380952
1454,613,4468,7,1.0,20.0,351.0,0.5952380952380952
1455,613,4367,7,182.0,1456.0,19015.36,108.33333333333333
1456,613,4368,7,182.0,1456.0,10017.28,108.33333333333333
1457,613,4301,7,19.0,152.0,10045.68,11.30952380952381
1458,613,4302,7,19.0,152.0,14458.240000000002,11.30952380952381
1459,613,4473,7,254.0,2032.0,26537.920000000002,151.19047619047618
1460,613,4474,7,254.0,2032.0,15240.0,151.19047619047618
1461,613,4481,7,254.0,2032.0,134294.88,151.19047619047618
1462,613,4482,7,254.0,2032.0,193283.84,151.19047619047618
1463,613,4217,7,306.0,2448.0,161788.32,182.14285714285714
1464,613,4218,7,306.0,2448.0,232853.76,182.14285714285714
1465,613,4291,7,306.0,2448.0,31970.88,182.14285714285714
1466,613,4292,7,306.0,2448.0,18360.0,182.14285714285714
1467,613,4289,7,69.0,552.0,7209.12,41.07142857142857
1468,613,4290,7,69.0,552.0,4140.0,41.07142857142857
1469,613,4305,7,47.0,376.0,2585.3282539682523,27.976190476190478
1470,613,4306,7,47.0,376.0,15.040000000000001,27.976190476190478
1471,613,4371,7,47.0,376.0,2585.3282539682523,27.976190476190478
1472,613,4372,7,47.0,376.0,2820.0,27.976190476190478
1473,613,4369,7,18.0,144.0,990.1257142857137,10.714285714285714
1474,613,4370,7,18.0,144.0,1080.0,10.714285714285714
1475,613,4219,7,1.0,8.0,528.72,0.5952380952380952
1476,613,4220,7,1.0,8.0,760.96,0.5952380952380952
1477,613,4295,7,1.0,8.0,104.48,0.5952380952380952
1478,613,4296,7,1.0,8.0,55.04,0.5952380952380952
1479,613,4221,7,516.0,4128.0,272819.52,307.14285714285717
1480,613,4222,7,516.0,4128.0,392655.36000000004,307.14285714285717
1481,613,4297,7,516.0,8256.0,53911.68,307.14285714285717
1482,613,4298,7,516.0,8256.0,239176.31999999998,307.14285714285717
1483,613,4225,7,102.0,816.0,53929.44,60.71428571428571
1484,613,4226,7,102.0,816.0,77617.92,60.71428571428571
1485,613,4249,7,102.0,816.0,10656.960000000001,60.71428571428571
